timestep,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/n_updates
2048,-386.2702,960.0,,,,,,,,,,
4096,-354.5008,960.0,12.735161,34.331852,-0.010756,-7.328427,0.01015,0.118018,0.2,0.0003,0.006418,10.0
6144,-328.8179,960.0,3.246595,12.754875,-0.010004,-7.320481,0.011883,0.098389,0.2,0.0003,0.001502,20.0
8192,-294.9411,960.0,4.171652,10.486595,-0.010964,-7.301224,0.011902,0.114453,0.2,0.0003,-1.1e-05,30.0
10240,-266.8475,960.0,7.261772,14.354537,-0.012812,-7.284734,0.00946,0.130762,0.2,0.0003,-1e-06,40.0
12288,-269.7938,960.0,7.716622,13.753852,-0.00901,-7.273199,0.010839,0.109912,0.2,0.0003,5e-06,50.0
14336,-277.8332,960.0,2.212115,9.320812,-0.009767,-7.2392,0.009862,0.088867,0.2,0.0003,0.007133,60.0
16384,-298.5606,960.0,7.962413,21.712871,-0.011874,-7.203569,0.011605,0.109375,0.2,0.0003,1.6e-05,70.0
18432,-283.0049,960.0,4.360056,14.910712,-0.010083,-7.194698,0.010948,0.089648,0.2,0.0003,0.000399,80.0
20480,-274.2475,960.0,5.965299,15.95168,-0.006905,-7.230427,0.006177,0.069482,0.2,0.0003,-1e-06,90.0
22528,-264.8704,960.0,5.878623,12.897503,-0.011745,-7.190694,0.007697,0.095264,0.2,0.0003,0.000518,100.0
24576,-265.1902,960.0,9.778687,16.629894,-0.009169,-7.189015,0.007457,0.048389,0.2,0.0003,0.048086,110.0
26624,-254.441,960.0,7.890666,15.840229,-0.007306,-7.112397,0.007551,0.057861,0.2,0.0003,-0.012898,120.0
28672,-256.0839,960.0,9.630468,16.309611,-0.004761,-7.128467,0.004123,0.00957,0.2,0.0003,0.172426,130.0
30720,-248.3722,960.0,7.342988,17.462044,-0.002237,-7.142969,0.00098,0.000488,0.2,0.0003,0.142305,140.0
32768,-249.09,960.0,5.489746,11.580183,-0.004057,-7.091321,0.003368,0.00542,0.2,0.0003,0.206756,150.0
34816,-244.2582,960.0,8.987338,16.189093,-0.006187,-7.065024,0.005419,0.012109,0.2,0.0003,0.342481,160.0
36864,-239.3521,960.0,3.726615,10.752611,-0.003976,-7.019322,0.003729,0.012793,0.2,0.0003,0.196994,170.0
38912,-238.8829,960.0,5.99586,11.60952,-0.003923,-7.001371,0.004378,0.003955,0.2,0.0003,0.376619,180.0
40960,-234.026,960.0,4.685719,12.730444,-0.004301,-6.920491,0.004137,0.00791,0.2,0.0003,0.319132,190.0
43008,-235.4468,960.0,4.656402,12.149214,-0.004276,-6.925055,0.004563,0.014844,0.2,0.0003,0.510634,200.0
45056,-234.6389,960.0,4.378546,9.781656,-0.005767,-6.850208,0.004415,0.021582,0.2,0.0003,0.204894,210.0
47104,-237.5184,960.0,4.613894,11.187248,-0.005024,-6.91595,0.006047,0.029346,0.2,0.0003,0.467513,220.0
49152,-233.7206,960.0,6.240743,9.508033,-0.006528,-6.823704,0.00921,0.117383,0.2,0.0003,0.065577,230.0
51200,-232.1447,960.0,2.531741,8.040913,-0.006769,-6.901776,0.008825,0.048145,0.2,0.0003,0.257721,240.0
53248,-232.4261,960.0,4.075709,10.150834,-0.005483,-6.785852,0.006013,0.018164,0.2,0.0003,0.404417,250.0
55296,-231.6944,960.0,3.63717,9.314015,-0.006309,-6.768625,0.004988,0.017871,0.2,0.0003,0.250468,260.0
57344,-225.6847,960.0,6.361992,11.79942,-0.005185,-6.756199,0.005404,0.018115,0.2,0.0003,0.518112,270.0
59392,-224.6335,960.0,6.385252,12.856493,-0.005774,-6.792222,0.005243,0.029541,0.2,0.0003,0.589047,280.0
61440,-219.1245,960.0,5.383873,9.413143,-0.010773,-6.647584,0.009439,0.071484,0.2,0.0003,0.644237,290.0
63488,-214.7954,960.0,5.780801,11.306795,-0.004031,-6.726056,0.004423,0.013574,0.2,0.0003,0.570636,300.0
65536,-213.238,960.0,4.961329,9.14556,-0.006401,-6.736051,0.005992,0.031689,0.2,0.0003,0.659634,310.0
67584,-210.6669,960.0,2.798151,8.961729,-0.002495,-6.649345,0.002716,0.005811,0.2,0.0003,0.600768,320.0
69632,-207.7714,960.0,3.004041,6.590368,-0.005396,-6.679026,0.006234,0.041357,0.2,0.0003,0.72082,330.0
71680,-207.7115,960.0,2.986509,7.102288,-0.007766,-6.6396,0.006923,0.064209,0.2,0.0003,0.718074,340.0
73728,-205.9453,960.0,1.94985,6.246923,-0.007656,-6.536778,0.005934,0.056885,0.2,0.0003,0.647741,350.0
75776,-204.1004,960.0,4.231805,8.49166,-0.004992,-6.562555,0.005818,0.039795,0.2,0.0003,0.757614,360.0
77824,-198.8753,960.0,4.451389,9.791099,-0.006145,-6.623709,0.006801,0.035449,0.2,0.0003,0.75103,370.0
79872,-196.5981,960.0,3.117588,7.195216,-0.002871,-6.730593,0.005373,0.029492,0.2,0.0003,0.826351,380.0
81920,-196.3959,960.0,2.868373,5.927574,-0.007051,-6.594576,0.008365,0.053467,0.2,0.0003,0.845891,390.0
83968,-193.4274,960.0,2.315525,4.907268,-0.006732,-6.523953,0.010124,0.071289,0.2,0.0003,0.763106,400.0
86016,-191.1292,960.0,3.332726,7.858212,-0.00392,-6.556988,0.005171,0.037061,0.2,0.0003,0.797765,410.0
88064,-189.5461,960.0,2.829113,5.828229,-0.004765,-6.555812,0.007339,0.056348,0.2,0.0003,0.861686,420.0
90112,-187.9417,960.0,2.911588,6.03097,-0.006537,-6.461749,0.009452,0.04668,0.2,0.0003,0.811537,430.0
92160,-184.0586,960.0,2.516598,5.195727,-0.006249,-6.534263,0.007241,0.050537,0.2,0.0003,0.817317,440.0
94208,-183.8004,960.0,3.159849,6.479885,-0.006241,-6.544034,0.007778,0.062354,0.2,0.0003,0.879754,450.0
96256,-183.4605,960.0,2.178488,4.681252,-0.006245,-6.360471,0.008037,0.066162,0.2,0.0003,0.806741,460.0
98304,-178.602,960.0,2.565861,6.64757,-0.004045,-6.318675,0.009104,0.07168,0.2,0.0003,0.785617,470.0
100352,-171.8973,960.0,2.344125,5.193407,-0.011469,-6.396713,0.008952,0.062109,0.2,0.0003,0.861357,480.0
102400,-169.4784,960.0,2.644545,6.298918,-0.009087,-6.338766,0.009197,0.097119,0.2,0.0003,0.903206,490.0
104448,-165.0203,960.0,3.1172,5.727945,-0.005081,-6.223524,0.008048,0.078076,0.2,0.0003,0.841398,500.0
106496,-164.8038,960.0,3.457381,6.983643,-0.00667,-6.24602,0.008928,0.098193,0.2,0.0003,0.898382,510.0
108544,-158.6301,960.0,2.633937,5.511612,-0.003381,-6.188528,0.006352,0.054883,0.2,0.0003,0.8805,520.0
110592,-154.2912,960.0,2.637862,5.541699,-0.005253,-6.270706,0.006736,0.076172,0.2,0.0003,0.925788,530.0
112640,-146.147,960.0,2.658726,6.292007,-0.005232,-6.195089,0.009591,0.115576,0.2,0.0003,0.911819,540.0
114688,-143.305,960.0,3.266239,7.545688,-0.003962,-6.32464,0.006263,0.050537,0.2,0.0003,0.920651,550.0
116736,-140.4975,960.0,2.109617,5.472801,-0.004864,-6.299296,0.008686,0.099365,0.2,0.0003,0.941128,560.0
