timestep,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss
2000,-373.9966,266.367401,250.729645,1.310499,0.0003,-6.523761
4000,-390.8493,837.158997,991.83728,2.370784,0.0003,-19.791048
6000,-333.0284,855.254578,161.273651,2.366749,0.0003,8.235394
8000,-314.6475,690.854004,41.070442,1.21623,0.0003,2.894113
10000,-290.7709,572.389282,26.737745,0.65888,0.0003,-5.993332
12000,-306.4875,486.008331,969.353027,0.36431,0.0003,-14.115215
14000,-301.6848,422.713074,19.180565,0.203659,0.0003,-20.931011
16000,-285.744,370.752045,17.732868,0.113662,0.0003,-25.935621
18000,-267.6845,324.67865,33.18161,0.065176,0.0003,-26.092072
20000,-255.5259,289.050964,300.310974,0.038021,0.0003,-23.456671
22000,-241.9644,256.282532,12.369711,0.023313,0.0003,-24.729713
24000,-233.2832,226.444733,16.896788,0.014837,0.0003,-18.152264
26000,-232.4075,204.417969,11.210091,0.009482,0.0003,-25.571014
28000,-224.3335,179.285324,7.908065,0.007834,0.0003,-2.767094
30000,-212.768,162.484985,8.068384,0.007239,0.0003,-3.081111
32000,-208.7689,146.524399,7.59688,0.006875,0.0003,-1.199862
34000,-199.1594,129.260529,47.144463,0.007,0.0003,-2.487194
36000,-194.8087,116.887772,4.155296,0.006945,0.0003,5.258967
38000,-192.1225,106.425873,3.470443,0.006102,0.0003,-8.565452
40000,-193.5412,95.904289,2.805543,0.006439,0.0003,-0.395645
42000,-192.0801,86.013077,2.406422,0.006256,0.0003,-10.787719
44000,-185.0904,77.470398,6.877576,0.005542,0.0003,-4.089003
46000,-177.5109,70.006226,4.848573,0.005089,0.0003,-8.489046
48000,-174.5799,64.315475,2.435508,0.00501,0.0003,-0.798984
50000,-169.6176,55.340469,1.00164,0.004706,0.0003,-7.773035
52000,-166.5119,53.148811,1.359179,0.004132,0.0003,6.40736
54000,-165.4537,45.614826,2.616643,0.003762,0.0003,16.679985
56000,-158.9344,40.457676,2.739316,0.003833,0.0003,10.890312
58000,-155.6376,37.30975,0.995553,0.004083,0.0003,1.597454
60000,-153.2864,36.479252,0.82015,0.003762,0.0003,2.121661
62000,-149.3798,32.92675,2.190764,0.003866,0.0003,-8.92599
64000,-143.4759,30.03367,0.733659,0.003788,0.0003,4.301447
66000,-138.1647,25.078217,0.699163,0.003652,0.0003,-6.911711
68000,-136.3216,24.230053,0.483609,0.003457,0.0003,2.966546
70000,-134.0351,22.393444,0.7,0.003175,0.0003,1.636175
72000,-129.6101,20.416265,0.611098,0.00336,0.0003,8.136139
74000,-121.6812,17.630125,0.780985,0.003502,0.0003,-8.447616
76000,-123.1333,17.210934,0.386377,0.003319,0.0003,-5.584982
78000,-119.4588,16.075142,0.439812,0.003374,0.0003,-3.285233
80000,-116.0744,13.49733,0.689333,0.003525,0.0003,-4.740889
82000,-115.2034,13.684214,0.741773,0.003533,0.0003,-2.068022
84000,-112.8938,11.899124,0.516749,0.003301,0.0003,-7.383506
86000,-111.6281,12.979013,0.489312,0.003358,0.0003,-0.702972
88000,-110.6041,10.976134,0.832417,0.003279,0.0003,-0.094502
90000,-108.158,9.784694,0.476788,0.00344,0.0003,-4.728447
92000,-105.954,9.059549,0.523012,0.003411,0.0003,9.135016
94000,-106.1285,9.489361,0.521802,0.003409,0.0003,2.047374
96000,-104.172,9.940503,0.476158,0.003577,0.0003,-2.579757
98000,-96.4278,8.224162,0.643997,0.003567,0.0003,11.22604
100000,-89.8887,8.459048,0.557451,0.003699,0.0003,-4.920231
102000,-85.2046,9.055317,0.630755,0.003877,0.0003,6.095228
104000,-81.5464,8.922303,0.527854,0.00382,0.0003,-9.577082
106000,-76.4129,8.277352,1.050928,0.003983,0.0003,4.494199
108000,-69.8686,6.740543,0.442864,0.004014,0.0003,8.336975
110000,-65.2861,7.341986,0.417659,0.004,0.0003,14.867308
112000,-61.6094,7.299814,1.049048,0.004224,0.0003,5.173888
114000,-60.0866,7.65303,0.89975,0.004391,0.0003,-0.536192
116000,-56.8043,6.915037,0.929706,0.004497,0.0003,1.579065
118000,-55.4726,7.292607,0.849662,0.004795,0.0003,1.390976
120000,-51.1379,8.608568,0.427672,0.005311,0.0003,1.947341
122000,-44.0609,7.417431,0.936135,0.005266,0.0003,-0.88246
124000,-40.9387,8.779325,0.349176,0.005094,0.0003,1.642902
126000,-38.3782,7.20861,0.400502,0.005263,0.0003,-1.574965
128000,-34.5624,8.344104,0.354356,0.005459,0.0003,-4.484023
130000,-33.2407,8.56441,1.226117,0.005434,0.0003,-8.150313
132000,-30.145,8.509706,0.391433,0.005317,0.0003,-0.705453
134000,-26.3739,8.646214,1.116227,0.005417,0.0003,-3.402304
136000,-20.3434,8.176422,0.332942,0.005558,0.0003,-3.793046
138000,-15.2724,7.943625,0.369885,0.005536,0.0003,1.903048
140000,-12.7983,7.021224,0.454818,0.005573,0.0003,2.041913
142000,-12.2375,7.10794,0.392241,0.005377,0.0003,0.720758
144000,-8.545,7.545881,0.387936,0.005631,0.0003,-4.711418
146000,-5.958,7.255538,0.482535,0.00556,0.0003,0.677756
148000,-2.5719,7.393625,0.596914,0.005277,0.0003,-0.068662
150000,1.4654,7.807226,0.336677,0.00559,0.0003,-0.259094
152000,0.4301,6.086073,0.50782,0.005398,0.0003,4.415055
154000,-0.2316,7.424296,0.463463,0.005281,0.0003,2.670315
156000,2.445,7.348773,0.424244,0.005238,0.0003,-0.535379
158000,2.9822,5.860248,0.339183,0.005231,0.0003,-2.587841
160000,1.2305,6.834543,0.665935,0.005245,0.0003,-0.428567
162000,1.6102,7.4291,0.386381,0.004938,0.0003,0.47306
164000,1.9806,5.400682,0.287607,0.004918,0.0003,6.243964
166000,2.8531,7.442382,0.498993,0.005074,0.0003,3.103454
168000,0.9387,7.553967,0.310941,0.004895,0.0003,-1.00712
170000,-1.0402,6.497995,0.353642,0.005268,0.0003,4.243934
172000,2.7804,7.394119,0.566883,0.005154,0.0003,5.005761
174000,3.548,6.739193,0.38965,0.005233,0.0003,7.311323
176000,3.2476,5.870723,0.453233,0.005266,0.0003,4.014999
178000,5.2135,5.526347,0.421087,0.005226,0.0003,7.180233
180000,5.8121,6.818552,0.616853,0.005397,0.0003,-0.302689
182000,7.0396,6.785039,0.889104,0.005261,0.0003,7.641064
184000,7.2765,6.85667,0.512821,0.005593,0.0003,-2.636321
186000,7.878,6.054686,0.362005,0.005504,0.0003,-0.888794
188000,7.0056,6.794975,0.47288,0.005929,0.0003,0.15815
190000,9.8971,6.368267,0.408346,0.006063,0.0003,-4.138611
192000,11.8213,6.721755,0.391264,0.006177,0.0003,4.509125
194000,7.0977,6.49123,0.287836,0.006416,0.0003,0.67558
196000,7.2832,7.17312,0.537494,0.006311,0.0003,1.225118
198000,8.6635,7.310351,0.683004,0.00659,0.0003,-0.558842
200000,11.3958,7.249307,0.790036,0.006648,0.0003,-0.046007
202000,11.9157,6.342279,0.461735,0.006869,0.0003,-3.160712
204000,13.429,5.947412,0.57594,0.006962,0.0003,4.120276
206000,12.8033,6.940221,1.377595,0.007352,0.0003,2.698569
208000,11.7159,6.602505,0.43133,0.007441,0.0003,-0.913362
210000,13.8118,7.449095,0.423661,0.007304,0.0003,-3.132305
212000,12.5931,8.300048,0.628267,0.00751,0.0003,0.52937
214000,13.3187,7.387547,0.456259,0.00759,0.0003,-4.089567
216000,12.379,7.401126,0.405724,0.007289,0.0003,1.781244
218000,10.3631,6.849521,0.570502,0.007954,0.0003,4.289271
220000,9.6436,6.365856,0.501291,0.007844,0.0003,-0.064247
222000,9.1286,7.335562,0.746251,0.007775,0.0003,-2.807867
224000,9.5568,7.087827,0.823625,0.007782,0.0003,-1.645815
226000,10.9393,8.041028,0.484239,0.007669,0.0003,-2.124897
228000,9.2996,6.971697,1.651674,0.008219,0.0003,1.061226
230000,7.6457,8.890206,0.492334,0.008252,0.0003,-2.133982
232000,8.0037,8.644846,0.498562,0.007767,0.0003,-1.34172
234000,2.7339,7.425121,0.620372,0.007948,0.0003,-1.967872
236000,2.4244,9.063029,0.436825,0.007971,0.0003,0.30384
238000,1.0696,9.667492,1.5507,0.00811,0.0003,-1.142923
240000,0.5293,7.016616,0.436793,0.008019,0.0003,0.411685
242000,-0.0229,8.282337,0.693525,0.008121,0.0003,-3.035068
244000,-2.5184,8.515532,0.669931,0.00808,0.0003,-5.244485
246000,-3.1126,8.553035,0.887491,0.008037,0.0003,-3.246627
248000,-4.5284,9.28011,0.442824,0.008202,0.0003,9.896824
250000,-2.0733,10.482065,0.443955,0.008154,0.0003,-0.272184
252000,-2.2885,9.424767,0.730821,0.008548,0.0003,-0.519746
254000,-3.1473,9.277156,0.763301,0.008518,0.0003,3.847242
256000,-2.7191,9.67096,3.653051,0.008867,0.0003,1.014858
258000,-7.3029,9.76095,0.417715,0.009097,0.0003,2.662799
260000,-4.3595,9.366331,0.51296,0.009125,0.0003,0.186221
